Januar,Info,Demo,Sonst,Standort,Veranstalter/Teilnehmerzahl,Uhrzeit
,,,,,,
1.0,x,,,P 2 / Planken,Privatperson,10:00-15:00
,,,,,,
2.0,,,,,,
,,,,,,
,,,,,,
3.0,,x,,verl. Planken D 5 / E 5 - D 1 / E 1,Privatperson,18:00-19:00
,x,,,E 1,Omas gegen rechts,17:00-19:15
,,,,,,
,,,,,,
4.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5.0,,,,,,
,,,,,,
,,,,,,
6.0,,,,,,
,,,,,,
,,,,,,
7.0,x,,,Neckarwiese Höhe Lidl,Body of Christ ,18:00-20:00
,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,,x,,Paradeplatz,Bündnis gegen Abschiebungen ,17.30 – 19.00 
,,,,,,
,,,,,,
8.0,x,,,P 2 / Planken,Privatperson,10:00-15:00
,x,,,Bahnhofsvorplatz,Body of Christ ,11:00-14:00
,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,,x,,R 1 - Q 1,Falun Gong,11:00-18:00
,,,,,,
9.0,,x,,Marktplatz G 1 ,Offene Gesellschaft Kurpfalz,14:00-18:00 
,,x,,Paradeplatz,Offene Gesellschaft Kurpfalz,14:00-18:00 
,,,,,,
,,,,,,
,,,,,,
10.0,,x,,verl. Planken D 5 / E 5 - D 1 / E 1,Privatperson,18:00-19:00
,x,,,E 1,Omas gegen rechts,17:00-19:15
,,,,,,
11.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
12.0,,,,,,
,,,,,,
13.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
14.0,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,x,,,Neckarwiese Höhe Lidl,Body of Christ ,18:00-20:00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15.0,x,,,P 2 / Planken,Privatperson,10:00-15:00
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00
,x,,,Bahnhofsvorplatz,Body of Christ ,11:00-14:00
,x,,,R1 / S1 (Breite Str.),Initiative Linke Kritik geg. Lockdown,11:00-13:00
,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
16.0,,,,,,
,,x,,Bellenkrappen,Konferenz der Bäume ,14:00-16:00
,,,,,,
,,,,,,
,,,,,,
17.0,,x,,Toulonplatz C 5,Offene Gesellschaft Kurpfalz,18:00-20:00
,,,,,,
,,,,,,
18.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
19.0,,,,,,
,,,,,,
,,,,,,
20.0,,x,,Paradeplatz,Privatperson,12:00-17:00
,,,,,,
,,,,,,
,,,,,,
21.0,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,x,,,Neckarwiese Höhe Lidl,Body of Christ ,18:00-20:00
,,,,,,
22.0,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,x,,,P 2 / Planken,Privatperson,10:00-15:00
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00
,x,,,Bahnhofsvorplatz,Body of Christ ,11:00-14:00
,x,,,R1 / S1 (Breite Str.),Initiative Linke Kritik geg. Lockdown,11:00-13:00
,,,,,,
23.0,,,,,,
,,,,,,
,,,,,,
24.0,,x,,Schloß-Bismarckstr.-F-G-Quadrate-Marktplatz-Schloß,Offene Gesellschaft Kurpfalz,18:00-22:00 
,,x,,Paradeplatz geg. N 1 (angemeldet),Privatperson,18:00-20:00
,,,,,,
,,,,,,
,,,,,,
25.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
26.0,,,,,,
,,,,,,
,,,,,,
27.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
28.0,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,x,,,Neckarwiese Höhe Lidl,Body of Christ ,18:00-20:00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
29.0,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,x,,,P 2 / Planken,Privatperson,10:00-15:00
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00
,x,,,Bahnhofsvorplatz,Body of Christ ,11:00-14:00
,,x,,Paradeplatz ,Seebrücke - 25 Personen,17:00-19:00
,,x,,O 7 Freifläche vor Burger King,Albert-Schweitzer-Stiftung,15:00-18:00
,,x,,Paradeplatz,Privatperson,12:00-16:00
,x,,,R1 / S1 (Breite Str.),Initiative Linke Kritik geg. Lockdown,11:00-13:00
,,x,,Alter Messplatz,Privatperson,15:00-17:00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
31.0,x,,,Paradeplatz,verdi,übl.GZ
,,x,,Marktplatz - Innenstadt - Ehrenhof (genaue Route siehe Vorgang),Offene Gesellschaft Kurpfalz,18:00-22:00 
,,x,,Paradeplatz Seite Richtung N 1,Montagsdemo ,17:30-19:00
